s1_1,s2_1,s3_1,s4_1,s5_1,s6_1,s7_1R,s8_1,s9_1,s10_1,s11_1R,s12_1,s13_1,s14_1R,s15_1,s16_1,s17_1,s18_1,s19_1,s20_1,s21_1R,s22_1,s23_1,s24_1,s25_1R
2,2,3,3,1,1,2,1,2,1,1,1,1,1,2,1,3,1,1,2,2,1,1,1,2
3,1,1,1,3,1,2,2,2,1,1,1,1,1,1,1,3,1,3,3,2,1,1,3,2
3,3,3,3,1,2,1,2,3,3,1,1,2,1,3,3,3,1,1,3,2,1,2,2,3
3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,3,1,1,3,1,1,1,1,1
3,3,2,3,2,1,2,2,3,2,1,1,3,1,3,3,3,2,1,1,2,1,1,2,3
3,1,1,2,1,2,1,3,3,1,1,1,1,2,1,2,3,1,1,2,1,1,2,2,2
2,2,1,2,2,2,3,1,2,2,1,2,2,1,3,1,1,1,1,2,3,1,2,1,3
3,2,3,3,1,1,1,1,3,1,2,1,1,1,1,1,3,1,1,2,2,1,1,2,1
3,1,2,1,3,2,2,2,3,1,1,1,2,1,1,2,3,1,1,2,1,1,1,2,3
3,3,3,2,3,2,1,3,3,3,1,1,3,3,2,2,3,3,3,3,2,1,2,3,2
3,1,2,3,2,1,1,3,3,1,1,1,1,1,2,2,3,1,1,2,1,1,1,1,2
3,3,1,2,3,1,2,2,3,3,1,1,1,1,3,1,3,2,1,2,2,1,1,1,1
2,3,1,2,3,2,2,3,2,3,1,1,3,2,3,3,3,3,1,2,2,1,2,2,3
3,2,2,2,2,1,1,2,3,1,1,1,1,1,2,1,3,1,1,3,1,1,2,1,2
3,2,1,2,1,1,1,2,3,3,1,1,1,2,2,1,3,1,1,2,1,1,1,1,2
3,2,1,3,1,1,3,1,3,1,1,1,1,1,2,1,3,1,1,2,3,1,1,1,2
3,2,1,3,1,1,2,2,3,2,1,1,1,1,3,3,3,1,1,3,2,1,2,1,2
3,1,1,3,1,1,1,2,3,1,1,1,1,1,1,2,3,1,1,2,2,1,1,1,3
2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,3,1,2,2,3,1,2,2,2
3,3,2,2,1,1,1,2,3,3,1,1,1,1,3,2,3,2,1,2,2,1,1,1,3
3,3,1,3,1,1,1,2,3,3,1,1,2,2,3,3,3,1,2,2,2,1,1,1,3
3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,3,1,1,3,1,1,1,2,1
3,2,2,3,1,1,2,1,3,1,1,1,1,1,2,1,3,1,1,2,2,1,2,1,2
3,1,3,2,2,1,2,2,3,1,1,1,1,1,2,1,3,1,1,1,2,1,1,2,2
3,2,1,3,2,1,1,3,3,3,1,1,1,1,3,3,3,1,1,3,3,1,3,1,3
3,2,1,3,2,1,2,2,3,1,1,1,3,1,1,3,3,1,1,2,2,1,1,1,1
3,3,1,3,3,1,1,3,1,1,1,1,2,2,3,2,1,3,2,3,3,2,3,1,2
3,2,2,3,2,1,2,2,3,1,1,2,2,1,3,1,3,1,2,3,1,1,3,2,1
2,3,2,2,1,1,2,1,2,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,2
3,3,2,2,2,1,1,3,3,3,2,1,2,1,3,1,3,1,1,3,1,1,1,1,2
3,2,3,2,3,2,2,3,3,2,1,1,2,2,2,1,3,2,1,2,2,1,1,3,2
2,2,1,1,2,1,2,1,2,1,2,1,1,2,3,2,2,2,2,2,3,1,1,1,2
3,2,2,3,1,1,2,1,3,1,1,1,1,1,2,1,3,1,1,2,2,1,2,1,2
3,3,2,3,1,2,1,2,3,1,1,1,2,1,2,3,3,1,1,2,2,1,1,1,1
3,3,1,3,3,1,3,2,2,3,1,1,3,1,3,2,2,2,1,1,2,2,1,2,2
3,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,1,2
3,1,1,2,1,2,2,1,3,1,1,1,2,2,1,1,3,2,2,1,1,1,1,1,2
3,2,1,2,1,1,2,1,3,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2
3,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,2,2,1,2,2,1
3,2,2,2,1,1,2,2,3,3,1,1,1,1,2,2,3,1,1,3,2,1,1,1,1
3,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,3,1,1,2,1,1,1,2,2
2,1,2,2,2,1,1,3,2,1,1,1,3,3,1,3,3,2,3,2,2,1,2,3,2
3,1,1,2,1,1,2,1,3,1,1,1,1,1,2,1,3,1,1,1,2,1,1,1,2
3,2,1,2,1,1,2,1,3,2,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1
3,2,2,3,1,1,2,3,3,2,1,1,1,1,1,3,3,1,1,1,3,1,1,2,2
3,2,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,2,1,1,1,1
3,1,2,3,1,1,1,2,3,1,1,1,1,2,1,2,3,1,1,2,1,1,1,1,2
3,3,3,3,3,2,2,3,3,2,1,1,2,2,2,2,3,1,2,2,1,2,1,1,1
3,3,2,2,1,1,2,1,3,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,2
3,2,1,3,3,1,2,2,3,3,1,1,2,1,3,1,3,1,2,2,2,2,2,1,2
3,1,1,3,1,1,1,2,3,1,1,1,1,1,2,1,3,1,1,3,2,1,1,1,2
3,1,1,3,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1
3,2,1,2,2,1,2,1,3,1,1,1,1,1,1,2,3,1,2,3,1,1,1,2,1
3,3,2,3,1,1,2,1,3,3,1,1,1,2,2,2,3,1,1,2,2,1,1,2,2
3,2,1,2,1,1,1,2,3,1,1,1,3,1,2,3,3,1,1,2,1,1,1,2,2
3,1,1,1,1,1,3,1,3,1,1,1,1,1,2,1,3,1,1,2,2,1,1,1,1
3,2,3,3,3,3,1,3,3,3,1,3,3,1,3,3,3,3,2,3,2,2,3,3,2
3,1,3,3,1,1,1,1,3,1,1,1,1,3,1,2,3,3,1,3,1,1,1,3,3
3,2,1,3,1,1,2,1,3,2,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2
3,2,1,2,1,2,2,3,3,2,1,1,1,1,1,2,3,1,1,1,2,1,1,2,2
3,1,1,2,1,1,1,1,3,1,1,1,1,1,2,2,3,1,1,2,2,1,1,1,2
3,2,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
2,2,2,3,3,1,1,1,3,2,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1
3,2,2,2,2,1,2,2,2,2,1,1,3,3,2,2,2,1,3,2,2,1,2,2,2
3,1,1,3,1,2,2,1,3,1,1,1,1,1,1,2,3,1,1,2,2,3,1,2,2
3,3,1,3,1,1,3,1,3,3,1,1,1,1,1,1,3,1,1,1,3,1,1,1,2
3,2,1,3,1,1,2,2,2,1,1,1,1,2,1,3,3,1,1,2,2,1,1,1,2
3,2,2,3,1,1,2,3,3,1,1,1,1,1,1,3,3,1,1,2,1,1,1,2,1
3,2,1,2,2,1,1,1,3,1,1,1,1,1,1,1,3,2,1,3,1,1,1,2,1
2,3,1,2,2,2,1,2,2,2,1,1,2,1,2,2,3,1,1,1,2,1,2,2,1
3,2,1,3,1,1,2,2,3,2,1,1,3,1,2,2,2,3,1,2,3,1,2,1,2
2,1,2,3,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3,2,1,3,1,1,1,1,3,2,1,1,1,1,2,1,3,1,1,2,1,1,1,1,2
1,1,1,1,1,1,3,1,1,1,3,1,1,3,1,2,2,2,2,2,1,3,3,3,1
